time,station_id,part_id,activity
2025-09-05T12:34:21.124045,station21,p6,TRANSFER
2025-09-05T12:34:22.571136,station21,p4,UNLOAD
2025-09-05T12:34:22.798282,station22,p6,PASS
2025-09-05T12:34:24.404033,station41,p2,PROCESS
2025-09-05T12:34:26.138412,station22,p6,TRANSFER
2025-09-05T12:34:26.934322,station41,p2,UNLOAD
2025-09-05T12:34:27.604179,splitter1,p6,RETURN
2025-09-05T12:34:28.261290,station21,p4,TRANSFER
2025-09-05T12:34:28.285957,station22,p4,PASS
2025-09-05T12:34:28.548182,splitter5,p3,CHECKOUT
2025-09-05T12:34:28.548577,splitter5,p3,SCRAP
2025-09-05T12:34:28.932564,splitter5,p3,FORWARD
2025-09-05T12:34:30.527081,splitter1,p6,TRANSFER
2025-09-05T12:34:30.601117,station11,p7,UNLOAD
2025-09-05T12:34:31.607299,station22,p4,TRANSFER
2025-09-05T12:34:32.231926,splitter5,p3,TRANSFER
2025-09-05T12:34:32.235124,station51,p2,PASS
2025-09-05T12:34:32.997678,station41,p2,TRANSFER
2025-09-05T12:34:33.858162,splitter1,p4,FORWARD
2025-09-05T12:34:35.340630,station11,p7,TRANSFER
2025-09-05T12:34:35.630467,station51,p2,TRANSFER
2025-09-05T12:34:36.112380,station11,p8,LOAD
2025-09-05T12:34:37.130853,station51,p1,UNLOAD
2025-09-05T12:34:37.167738,station52,p2,LOAD
2025-09-05T12:34:37.208698,splitter1,p4,TRANSFER
2025-09-05T12:34:37.991162,corner2,p9,START
2025-09-05T12:34:38.185970,station21,p7,LOAD
2025-09-05T12:34:38.344954,corner2,p9,RETURN
2025-09-05T12:34:38.738115,station31,p4,LOAD
2025-09-05T12:34:39.566614,station11,p8,PROCESS
2025-09-05T12:34:40.229363,corner2,p9,TRANSFER
2025-09-05T12:34:40.684796,station52,p2,PROCESS
2025-09-05T12:34:41.175163,corner2,p10,START
2025-09-05T12:34:41.507414,splitter2,p6,RETURN
2025-09-05T12:34:41.508610,corner2,p10,RETURN
2025-09-05T12:34:41.523090,station21,p7,PROCESS
2025-09-05T12:34:42.005351,station31,p4,PROCESS
2025-09-05T12:34:42.687431,station52,p1,PASS
2025-09-05T12:34:43.383281,corner2,p10,TRANSFER
2025-09-05T12:34:43.752551,station51,p1,TRANSFER
2025-09-05T12:34:44.342769,corner2,p11,START
2025-09-05T12:34:44.434732,splitter2,p6,TRANSFER
2025-09-05T12:34:44.692417,corner2,p11,RETURN
2025-09-05T12:34:45.633223,station22,p5,UNLOAD
2025-09-05T12:34:46.104294,station52,p1,TRANSFER
2025-09-05T12:34:46.570668,corner2,p11,TRANSFER
2025-09-05T12:34:47.526584,corner2,p12,START
2025-09-05T12:34:47.788848,splitter3,p1,RETURN
2025-09-05T12:34:47.880410,corner2,p12,RETURN
2025-09-05T12:34:48.183080,splitter4,p3,FORWARD
2025-09-05T12:34:49.647177,station21,p6,PASS
2025-09-05T12:34:49.758741,corner2,p12,TRANSFER
2025-09-05T12:34:50.798479,splitter3,p1,TRANSFER
2025-09-05T12:34:51.095897,station11,p8,UNLOAD
2025-09-05T12:34:51.577663,station22,p5,TRANSFER
2025-09-05T12:34:51.589000,splitter4,p3,TRANSFER
2025-09-05T12:34:51.633132,splitter1,p5,FORWARD
2025-09-05T12:34:52.517494,station31,p4,UNLOAD
2025-09-05T12:34:52.979862,station21,p6,TRANSFER
